periodo;sexo;region;provincia;nivel_geografico;ubicacion;causa_mortalidad;tipo_causa;tasa_mortalidad;riesgo_mortalidad;esperanza_vida;categoria_ev
2010;Ambos sexos;España;Alicante;HOSPITAL/ZONA SALUD;Alacant Hospital General;Cancer;Neoplasia;237.59;Elevado;20.8;Media
2010;Ambos sexos;España;Alicante;HOSPITAL/ZONA SALUD;Alcoi;Cancer;Neoplasia;247.48;Elevado;20.2;Media
2010;Ambos sexos;España;Alicante;PROVINCIA;Alicante;Cancer;Neoplasia;211.81;Elevado;21.3;Alta
2010;Ambos sexos;España;Alicante;HOSPITAL/ZONA SALUD;Elda;Cancer;Neoplasia;239.59;Elevado;20.2;Media
2010;Ambos sexos;España;Alicante;HOSPITAL/ZONA SALUD;Elx Hospital General;Cancer;Neoplasia;229.29;Elevado;21.6;Alta
2010;Ambos sexos;España;Alicante;HOSPITAL/ZONA SALUD;Elx-Crevillent;Cancer;Neoplasia;297.48;Elevado;19.0;Media
2010;Ambos sexos;España;Alicante;HOSPITAL/ZONA SALUD;Marina Baixa;Cancer;Neoplasia;207.11;Elevado;22.3;Alta
2010;Ambos sexos;España;Alicante;HOSPITAL/ZONA SALUD;Orihuela;Cancer;Neoplasia;239.16;Elevado;19.8;Media
2010;Ambos sexos;España;Alicante;HOSPITAL/ZONA SALUD;Sant Joan;Cancer;Neoplasia;224.58;Elevado;21.5;Alta
2010;Ambos sexos;España;Alicante;HOSPITAL/ZONA SALUD;Torrevieja;Cancer;Neoplasia;163.58;Moderado;24.9;Alta
2010;Ambos sexos;España;Castellón;HOSPITAL/ZONA SALUD;Castelló;Cancer;Neoplasia;226.0;Elevado;21.1;Alta
2010;Ambos sexos;España;Castellón;PROVINCIA;Castellón;Cancer;Neoplasia;236.63;Elevado;20.5;Media
2010;Ambos sexos;España;Castellón;HOSPITAL/ZONA SALUD;La Plana;Cancer;Neoplasia;244.93;Elevado;20.2;Media
2010;Ambos sexos;España;Castellón;HOSPITAL/ZONA SALUD;Vinarós;Cancer;Neoplasia;216.99;Elevado;20.8;Media
2010;Ambos sexos;España;Comunitat Valenciana;COMUNIDAD AUTÓNOMA;Comunitat Valenciana;Cancer;Neoplasia;233.7;Elevado;20.6;Media
2010;Ambos sexos;España;Valencia;HOSPITAL/ZONA SALUD;Clínic Malvarrosa;Cancer;Neoplasia;254.04;Elevado;20.5;Media
2010;Ambos sexos;España;Valencia;HOSPITAL/ZONA SALUD;Doctor Peset;Cancer;Neoplasia;241.04;Elevado;20.9;Media
2010;Ambos sexos;España;Valencia;HOSPITAL/ZONA SALUD;Dénia;Cancer;Neoplasia;228.93;Elevado;21.3;Alta
2010;Ambos sexos;España;Valencia;HOSPITAL/ZONA SALUD;Gandia;Cancer;Neoplasia;230.93;Elevado;20.6;Media
2010;Ambos sexos;España;Valencia;HOSPITAL/ZONA SALUD;Manises;Cancer;Neoplasia;251.8;Elevado;20.2;Media
2010;Ambos sexos;España;Valencia;HOSPITAL/ZONA SALUD;Requena;Cancer;Neoplasia;218.78;Elevado;19.5;Media
2010;Ambos sexos;España;Valencia;HOSPITAL/ZONA SALUD;Ribera;Cancer;Neoplasia;247.25;Elevado;19.8;Media
2010;Ambos sexos;España;Valencia;HOSPITAL/ZONA SALUD;Sagunt;Cancer;Neoplasia;247.24;Elevado;20.8;Media
2010;Ambos sexos;España;Valencia;PROVINCIA;Valencia;Cancer;Neoplasia;250.62;Elevado;20.1;Media
2010;Ambos sexos;España;Valencia;HOSPITAL/ZONA SALUD;Valencia Hospital General;Cancer;Neoplasia;248.35;Elevado;20.6;Media
2010;Ambos sexos;España;Valencia;HOSPITAL/ZONA SALUD;Valencia La Fe;Cancer;Neoplasia;248.49;Elevado;20.5;Media
2010;Ambos sexos;España;Valencia;HOSPITAL/ZONA SALUD;Vilanova;Cancer;Neoplasia;242.59;Elevado;20.3;Media
2010;Ambos sexos;España;Valencia;HOSPITAL/ZONA SALUD;Xàtiva-Ontinyent;Cancer;Neoplasia;255.52;Elevado;19.8;Media
2010;Hombres;España;Alicante;HOSPITAL/ZONA SALUD;Alacant Hospital General;Cancer;Neoplasia;351.03;Elevado;18.1;Baja
2010;Hombres;España;Alicante;HOSPITAL/ZONA SALUD;Alcoi;Cancer;Neoplasia;352.78;Elevado;18.1;Baja
2010;Hombres;España;Alicante;PROVINCIA;Alicante;Cancer;Neoplasia;290.93;Elevado;19.7;Media
2010;Hombres;España;Alicante;HOSPITAL/ZONA SALUD;Elda;Cancer;Neoplasia;350.07;Elevado;17.9;Baja
2010;Hombres;España;Alicante;HOSPITAL/ZONA SALUD;Elx Hospital General;Cancer;Neoplasia;327.08;Elevado;19.4;Media
2010;Hombres;España;Alicante;HOSPITAL/ZONA SALUD;Elx-Crevillent;Cancer;Neoplasia;407.53;Elevado;17.4;Baja
2010;Hombres;España;Alicante;HOSPITAL/ZONA SALUD;Marina Baixa;Cancer;Neoplasia;274.74;Elevado;20.2;Media
2010;Hombres;España;Alicante;HOSPITAL/ZONA SALUD;Orihuela;Cancer;Neoplasia;334.32;Elevado;18.2;Baja
2010;Hombres;España;Alicante;HOSPITAL/ZONA SALUD;Sant Joan;Cancer;Neoplasia;323.63;Elevado;19.2;Media
2010;Hombres;España;Alicante;HOSPITAL/ZONA SALUD;Torrevieja;Cancer;Neoplasia;207.51;Elevado;23.7;Alta
2010;Hombres;España;Castellón;HOSPITAL/ZONA SALUD;Castelló;Cancer;Neoplasia;320.8;Elevado;19.1;Media
2010;Hombres;España;Castellón;PROVINCIA;Castellón;Cancer;Neoplasia;349.65;Elevado;18.5;Baja
2010;Hombres;España;Castellón;HOSPITAL/ZONA SALUD;La Plana;Cancer;Neoplasia;364.04;Elevado;18.2;Baja
2010;Hombres;España;Castellón;HOSPITAL/ZONA SALUD;Vinarós;Cancer;Neoplasia;332.19;Elevado;18.6;Baja
2010;Hombres;España;Comunitat Valenciana;COMUNIDAD AUTÓNOMA;Comunitat Valenciana;Cancer;Neoplasia;336.59;Elevado;18.5;Baja
2010;Hombres;España;Valencia;HOSPITAL/ZONA SALUD;Clínic Malvarrosa;Cancer;Neoplasia;398.46;Elevado;17.8;Baja
2010;Hombres;España;Valencia;HOSPITAL/ZONA SALUD;Doctor Peset;Cancer;Neoplasia;336.65;Elevado;18.8;Baja
2010;Hombres;España;Valencia;HOSPITAL/ZONA SALUD;Dénia;Cancer;Neoplasia;316.53;Elevado;19.6;Media
2010;Hombres;España;Valencia;HOSPITAL/ZONA SALUD;Gandia;Cancer;Neoplasia;342.15;Elevado;18.0;Baja
2010;Hombres;España;Valencia;HOSPITAL/ZONA SALUD;Manises;Cancer;Neoplasia;362.32;Elevado;18.2;Baja
2010;Hombres;España;Valencia;HOSPITAL/ZONA SALUD;Requena;Cancer;Neoplasia;298.27;Elevado;18.2;Baja
2010;Hombres;España;Valencia;HOSPITAL/ZONA SALUD;Ribera;Cancer;Neoplasia;362.23;Elevado;17.7;Baja
2010;Hombres;España;Valencia;HOSPITAL/ZONA SALUD;Sagunt;Cancer;Neoplasia;372.51;Elevado;18.8;Baja
